Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
4.742E+02  3.570E-25  4.491E-15
4.699E+02  3.715E-25  4.630E-15
4.656E+02  3.865E-25  4.773E-15
4.613E+02  4.021E-25  4.920E-15
4.571E+02  4.183E-25  5.072E-15
4.529E+02  4.352E-25  5.229E-15
4.487E+02  4.528E-25  5.390E-15
4.446E+02  4.711E-25  5.556E-15
4.406E+02  4.901E-25  5.727E-15
4.365E+02  5.098E-25  5.904E-15
4.325E+02  5.304E-25  6.085E-15
4.285E+02  5.518E-25  6.272E-15
4.246E+02  5.740E-25  6.465E-15
4.207E+02  5.971E-25  6.664E-15
4.169E+02  6.212E-25  6.869E-15
4.130E+02  6.462E-25  7.080E-15
4.093E+02  6.722E-25  7.297E-15
4.055E+02  6.992E-25  7.521E-15
4.018E+02  7.273E-25  7.752E-15
3.981E+02  7.566E-25  7.989E-15
3.945E+02  7.870E-25  8.234E-15
3.908E+02  8.186E-25  8.487E-15
3.873E+02  8.515E-25  8.747E-15
3.837E+02  8.856E-25  9.014E-15
3.802E+02  9.212E-25  9.290E-15
3.767E+02  9.581E-25  9.574E-15
3.733E+02  9.965E-25  9.866E-15
3.698E+02  1.036E-24  1.017E-14
3.664E+02  1.078E-24  1.048E-14
3.631E+02  1.121E-24  1.080E-14
3.597E+02  1.166E-24  1.112E-14
3.565E+02  1.212E-24  1.146E-14
3.532E+02  1.261E-24  1.181E-14
3.499E+02  1.311E-24  1.217E-14
3.467E+02  1.363E-24  1.254E-14
3.436E+02  1.417E-24  1.292E-14
3.404E+02  1.474E-24  1.331E-14
3.373E+02  1.532E-24  1.371E-14
3.342E+02  1.593E-24  1.412E-14
3.311E+02  1.657E-24  1.455E-14
3.281E+02  1.722E-24  1.499E-14
3.251E+02  1.790E-24  1.544E-14
3.221E+02  1.861E-24  1.590E-14
3.192E+02  1.935E-24  1.638E-14
3.162E+02  2.011E-24  1.687E-14
3.133E+02  2.090E-24  1.737E-14
3.105E+02  2.173E-24  1.789E-14
3.076E+02  2.258E-24  1.843E-14
3.048E+02  2.347E-24  1.898E-14
3.020E+02  2.439E-24  1.954E-14
2.992E+02  2.535E-24  2.012E-14
2.965E+02  2.634E-24  2.072E-14
2.938E+02  2.737E-24  2.133E-14
2.911E+02  2.844E-24  2.196E-14
2.884E+02  2.955E-24  2.260E-14
2.858E+02  3.070E-24  2.327E-14
2.831E+02  3.189E-24  2.395E-14
2.805E+02  3.313E-24  2.466E-14
2.780E+02  3.442E-24  2.538E-14
2.754E+02  3.575E-24  2.612E-14
2.729E+02  3.713E-24  2.688E-14
2.704E+02  3.857E-24  2.767E-14
2.679E+02  4.007E-24  2.847E-14
2.655E+02  4.161E-24  2.930E-14
